"","network","value","ids","region","or"
"1","DMN",1.48376215485426e-16,0,"(Intercept)",1
"2","DMN",-3.42967084901187e-18,8,"LH_DefaultA_PFCm",1
"3","DMN",-4.38155189017939e-18,28,"RH_DefaultB_PFCd",1
"4","Salience",-8.28988762503812e-17,0,"(Intercept)",1
"5","Salience",-4.36196569638615e-18,3,"LH_ContB_PFClv",1
"6","Salience",4.19386643848202e-18,9,"LH_DefaultA_PFCm",1
"7","Salience",5.57904777178762e-18,20,"LH_SalVentAttnB_PFCv",1
"8","Salience",-5.54119038494855e-18,26,"RH_ContC_Cingp",1
"9","Salience",7.49567372079455e-18,33,"RH_DefaultB_Temp",1
"10","ECN_L",4.87045015426109e-17,0,"(Intercept)",1
"11","ECN_L",-2.53761089942771e-18,4,"LH_ContA_Temp",1
"12","ECN_L",6.5235387155655e-18,7,"LH_ContB_PFCl",1
"13","ECN_L",-7.03632059612915e-18,17,"LH_DefaultB_PFCd",1
"14","ECN_L",-1.91641779994063e-18,29,"LH_SalVentAttnA_ParOper",1
"15","ECN_R",-1.71675994334506e-16,0,"(Intercept)",1
"16","ECN_R",1.2959711145034e-17,16,"RH_ContC_Cingp",1
"17","ECN_R",5.80076749802956e-19,38,"RH_TempPar",1
"18","Hippocampal",-1.81726044343415e-17,0,"(Intercept)",1
"19","Hippocampal",7.54065273593974e-18,15,"RH_DefaultA_PCC",1
"20","Language",-2.37174066135442e-17,0,"(Intercept)",1
"21","Language",2.40962148930466e-18,4,"LH_ContC_pCun",1
"22","Language",1.28457644670633e-18,18,"LH_SalVentAttnB_PFCv",1
"23","Language",-3.87040852104182e-18,24,"RH_DefaultA_PCC",1
