"","region_stem","network","mean_mda"
"1","LH.Hippocampus","Hippocampal",2.56531769413138
"2","LH.Thalamus.Proper","Hippocampal",21.7220931176042
"3","LH_ContA_IPS","ECN_L",2.90664469993479
"4","LH_ContA_IPS","ECN_R",6.01867774719836
"5","LH_ContA_IPS","Salience",7.15140906168809
"6","LH_ContA_PFCl","ECN_L",4.84353319359969
"7","LH_ContB_IPL","ECN_L",2.9055994642342
"8","LH_ContB_IPL","ECN_R",5.27954613035793
"9","LH_ContB_PFCl","ECN_L",3.86622742556009
"10","LH_ContB_PFClv","ECN_L",4.01037629291241
"11","LH_ContC_pCun","ECN_L",20.6919561830334
"12","LH_ContC_pCun","Language",8.20614698804009
"13","LH_ContC_pCun","Salience",5.73943127487213
"14","LH_DefaultA_IPL","Language",12.4508014016238
"15","LH_DefaultA_PCC","DMN",3.60516105707254
"16","LH_DefaultA_PCC","ECN_L",5.24475506944477
"17","LH_DefaultA_PCC","Hippocampal",4.27463112397697
"18","LH_DefaultA_PCC","Salience",8.71405706314629
"19","LH_DefaultA_PFCd","DMN",8.12955198966774
"20","LH_DefaultA_PFCm","DMN",8.14952673840646
"21","LH_DefaultA_PFCm","Language",7.06776206769165
"22","LH_DefaultB_IPL","DMN",13.5902183941927
"23","LH_DefaultB_IPL","ECN_L",3.47536876942188
"24","LH_DefaultB_IPL","Language",5.83120896105063
"25","LH_DefaultB_PFCd","ECN_L",2.73159887036455
"26","LH_DefaultB_PFCd","Salience",5.22737441931596
"27","LH_DefaultB_PFCv","Language",7.13263937310412
"28","LH_DefaultB_PFCv","Salience",8.29449465489983
"29","LH_DefaultB_Temp","Salience",4.4976402992766
"30","LH_DefaultC_PHC","Hippocampal",18.7437210985134
"31","LH_DefaultC_Rsp","DMN",9.02127522875864
"32","LH_DefaultC_Rsp","Language",4.50653422773419
"33","LH_DorsAttnA_SPL","ECN_L",3.03668280895146
"34","LH_DorsAttnA_TempOcc","Hippocampal",3.57599549135211
"35","LH_Limbic_OFC","Salience",3.95558106897219
"36","LH_SalVentAttnA_Ins","ECN_L",7.12617167435909
"37","LH_SalVentAttnB_PFCv","Language",2.11701834414349
"38","LH_TempPar","Language",5.29829397771264
"39","LH_VisPeri_ExStrSup","Hippocampal",4.32647268845145
"40","RH.Hippocampus","Hippocampal",2.83860884801022
"41","RH.Thalamus.Proper","Hippocampal",24.9919975798939
"42","RH_ContA_PFCl","ECN_R",6.67761239992575
"43","RH_ContA_Temp","ECN_R",4.69970284541469
"44","RH_ContB_IPL","DMN",10.3520333026484
"45","RH_ContB_IPL","Language",11.1882771829409
"46","RH_ContB_PFCld","ECN_R",6.91685952417931
"47","RH_ContC_Cingp","DMN",4.1505829520152
"48","RH_ContC_pCun","DMN",2.54090236839192
"49","RH_ContC_pCun","ECN_R",3.63721125475937
"50","RH_DefaultA_IPL","DMN",2.73686055590812
"51","RH_DefaultA_IPL","ECN_R",14.6423399523494
"52","RH_DefaultA_IPL","Salience",12.6694973408294
"53","RH_DefaultA_PCC","DMN",3.53365532038568
"54","RH_DefaultA_PCC","Hippocampal",6.77733283692459
"55","RH_DefaultA_PCC","Language",4.12586437684813
"56","RH_DefaultA_PFCd","ECN_R",1.95566241640177
"57","RH_DefaultA_PFCm","DMN",5.47910413829086
"58","RH_DefaultA_PFCm","Salience",5.48665850051623
"59","RH_DefaultB_PFCd","DMN",2.92155186455992
"60","RH_DefaultB_PFCv","Salience",4.31158009200134
"61","RH_DefaultB_Temp","Salience",4.63824720369733
"62","RH_DefaultC_IPL","ECN_R",6.10649323088096
"63","RH_DefaultC_Rsp","DMN",2.49605667045798
"64","RH_DorsAttnA_SPL","ECN_R",6.20466076226907
"65","RH_SalVentAttnA_Ins","Salience",10.7118164752457
"66","RH_SalVentAttnB_IPL","Language",4.5594014454419
"67","RH_SalVentAttnB_PFCv","ECN_R",11.9740000522443
"68","RH_SalVentAttnB_PFCv","Salience",7.24622910604704
"69","RH_TempPar","DMN",14.2484669801699
"70","RH_VisPeri_ExStrSup","Hippocampal",12.2436603342505
